attempt_count,hint_count,type,first_action,Average_confidence(CONFUSED),tot_seconde_diff,cognitive_score
1,0,1,0,1.0,45.0,3
3,0,2,0,0.0,25.0,2
1,0,1,0,0.984127,6.0,3
2,2,2,0,0.0,28.0,2
1,0,3,0,0.0,52.0,2
1,0,3,0,0.0,18.0,2
4,2,2,0,0.96875,75.0,2
1,1,2,1,0.0,250.0,2
4,2,2,0,0.0,46.0,2
1,0,2,0,1.0,11.0,3
1,1,1,1,0.0,6.0,2
1,0,1,0,0.0,6.0,2
1,4,2,1,0.0,20.0,2
2,4,2,0,0.0,121.0,2
1,0,2,0,0.0,37.0,3
1,0,1,0,1.0,9.0,2
1,0,1,0,0.0,9.0,2
8,3,2,0,0.0,276.0,2
1,0,2,0,1.0,43.0,3
1,3,2,1,0.0,81.0,1
1,0,1,0,0.0,10.0,2
1,0,1,0,0.0,22.0,3
3,0,1,0,0.0,81.0,1
3,0,1,0,0.0,13.0,2
1,0,2,0,0.0,54.0,3
1,0,2,0,0.911765,6.0,3
1,0,1,0,0.0,24.0,3
1,0,2,0,0.925373,27.0,3
2,4,2,0,0.0,46.0,2
7,2,2,0,0.0,159.0,2
2,0,2,0,0.0,22.0,1
1,0,1,0,0.0,62.0,3
2,0,2,0,0.484375,17.0,2
4,0,2,0,0.0,236.0,2
3,4,2,0,0.484375,20.0,2
2,0,2,0,0.9732825,9.0,2
2,0,2,0,0.0,16.0,2
1,0,2,0,0.911765,7.0,3
3,0,2,0,0.0,115.0,2
2,0,2,0,0.0,19.0,2
5,3,2,0,0.0,27.0,2
1,0,1,0,0.0,81.0,3
1,0,3,0,0.946565,12.0,3
1,0,2,0,0.0,58.0,3
1,0,2,0,0.0,96.0,3
1,0,2,0,0.0,23.0,3
1,0,2,0,0.0,66.0,3
1,0,2,0,0.0,35.0,3
1,0,1,0,0.0,45.0,3
1,0,2,0,0.96875,16.0,3
2,0,2,0,0.0,13.0,2
2,0,2,0,0.0,17.0,2
1,0,2,0,0.0,33.0,3
1,0,1,0,0.0,103.0,3
1,0,2,0,0.0,45.0,3
1,0,1,0,0.0,28.0,3
1,0,2,0,0.0,27.0,3
2,3,2,0,0.0,28.0,2
1,0,3,0,0.0,23.0,3
5,0,2,0,0.0,63.0,2
1,0,3,0,0.0,8.0,2
6,2,2,0,0.0,55.0,2
1,0,3,0,0.0,190.0,3
3,3,2,0,0.0,36.0,2
1,0,3,0,0.0,56.0,3
1,0,3,0,0.0,28.0,3
4,0,2,0,0.0,41.0,2
1,0,3,0,0.0,14.0,1
1,0,1,0,0.0,29.0,2
1,0,1,0,0.0,12.0,3
1,0,3,0,0.0,47.0,3
3,0,2,0,0.0,54.0,2
2,1,2,0,0.0,21.0,1
1,0,3,0,0.0,22.0,2
1,0,3,0,0.0,20.0,2
1,0,3,0,0.0,137.0,3
2,0,2,0,0.0,37.0,2
1,0,2,0,0.946565,6.0,3
1,0,3,0,0.0,14.0,3
1,0,1,0,0.0,43.0,3
4,3,2,0,0.0,35.0,2
1,0,1,0,0.0,18.0,3
1,0,1,0,0.0,11.0,3
1,0,1,0,0.0,248.0,1
2,0,2,0,0.0,139.0,2
1,0,2,0,0.0,26.0,3
1,0,2,0,0.0,72.0,3
1,0,1,0,0.0,53.0,3
2,4,2,0,0.0,25.0,2
2,0,2,0,0.0,26.0,2
1,0,2,0,0.0,39.0,3
2,0,2,0,0.4558825,16.0,2
2,0,2,0,0.0,6.0,2
4,1,1,0,0.1850746,83.0,2
1,0,1,0,0.0,58.0,3
2,0,2,0,0.0,32.0,2
2,4,2,0,0.1589743333333333,31.0,2
1,0,2,0,0.0,82.0,3
3,4,2,0,0.0,82.0,2
1,0,1,0,0.0,64.0,2
1,0,1,0,0.0,274.0,3
1,0,1,0,0.0,73.0,2
1,0,1,0,0.925373,26.0,3
2,3,2,0,0.3907692,24.0,2
1,0,1,0,0.0,40.0,3
1,0,3,0,0.0,7.0,3
1,0,1,0,0.0,93.0,3
1,0,1,0,0.0,42.0,3
4,0,2,0,0.25,28.0,2
2,0,1,0,0.0,18.0,2
1,0,1,0,0.0,48.0,3
1,0,1,0,0.0,61.0,3
3,0,2,0,0.0,80.0,2
2,0,2,0,0.0,17.0,1
2,0,2,0,0.0,112.0,2
1,0,2,0,0.0,40.0,3
2,0,2,0,0.0,103.0,2
1,0,2,0,0.946565,4.0,3
5,0,2,0,0.0,16.0,2
3,0,1,0,0.0,230.0,2
3,0,1,0,0.0,92.0,2
3,0,2,0,0.0,96.0,2
1,0,1,0,0.0,20.0,2
1,0,1,0,0.0,138.0,3
4,4,2,0,0.0,31.0,2
2,0,1,0,0.4894735,14.0,2
4,0,2,0,0.0,55.0,2
18,3,2,0,0.0,73.0,2
1,0,3,0,0.0,9.0,3
2,0,1,0,0.0,204.0,2
2,0,2,0,0.0,8.0,2
3,0,1,0,0.0,17.0,2
2,0,1,0,0.0,7.0,2
1,0,1,0,0.0,243.0,3
1,0,2,0,0.0,183.0,3
2,1,1,0,0.0,64.0,2
4,3,2,0,0.0,57.0,2
3,3,2,0,0.0,25.0,2
3,0,2,0,0.0,34.0,2
1,0,2,0,0.0,75.0,3
1,0,1,0,0.0,41.0,3
1,1,2,1,0.0,54.0,2
1,0,2,0,0.0,346.0,3
1,0,2,0,0.978947,6.0,3
4,0,2,0,0.0,21.0,2
1,0,2,0,1.0,9.0,3
1,0,3,0,0.0,13.0,3
2,0,2,0,0.0,14.0,2
1,0,1,0,0.0,37.0,3
1,0,1,0,0.0,12.0,1
1,0,1,0,0.0,21.0,2
1,0,2,0,0.0,32.0,3
4,4,2,0,0.0,83.0,2
1,0,2,0,0.0,21.0,3
4,4,2,0,0.0,162.0,2
1,0,2,0,0.0,125.0,3
1,4,2,1,0.0,11.0,2
3,3,2,0,0.0,40.0,2
3,0,2,0,0.0,15.0,2
1,0,2,0,0.0,224.0,3
1,0,2,0,0.0,123.0,3
2,0,2,0,0.5,54.0,2
2,0,2,0,0.0,22.0,2
1,0,1,0,0.0,8.0,1
1,0,1,0,1.0,12.0,3
1,0,1,0,0.0,108.0,3
1,0,1,0,0.978947,15.0,3
1,0,1,0,0.0,234.0,3
1,0,2,0,0.0,36.0,3
1,3,2,1,0.0,23.0,2
1,0,1,0,0.0,27.0,2
2,0,2,0,0.0,252.0,2
1,0,3,0,0.0,6.0,3
3,0,2,0,0.0,85.0,2
1,0,1,0,0.0,34.0,3
3,4,2,0,0.0,39.0,2
2,0,2,0,0.0,46.0,2
2,3,2,0,0.2,55.0,2
2,1,3,0,0.639447,26.0,1
1,0,3,0,0.0,18.0,3
1,0,2,0,0.0,50.0,3
2,4,2,0,0.0,55.0,2
2,0,2,0,0.0,32.0,1
1,0,3,0,0.0,77.0,2
1,0,3,0,0.0,8.0,3
1,0,3,0,0.0,32.0,3
8,3,2,0,0.0853994545454545,23.0,2
1,0,1,0,0.984127,60.0,2
1,0,2,0,0.0,79.0,3
3,0,2,0,0.0,26.0,2
1,0,1,0,0.0,12.0,2
2,2,2,0,0.0,42.0,2
2,0,2,0,0.484375,16.0,1
2,3,2,0,0.0,34.0,2
2,0,2,0,0.0,38.0,2
1,0,2,0,0.0,73.0,3
2,0,2,0,0.0,28.0,1
3,3,2,0,0.0,50.0,2
4,0,2,0,0.0,17.0,2
1,0,2,0,0.0,42.0,3
2,2,2,0,0.0,25.0,2
3,3,2,0,0.0,46.0,2
1,0,1,0,0.0,60.0,3
1,0,1,0,0.946565,4.0,3
1,0,1,0,0.0,44.0,3
1,0,1,0,0.0,69.0,3
1,0,1,0,0.0,256.0,3
2,0,2,0,0.0,12.0,2
3,1,2,0,0.0,134.0,2
3,0,2,0,0.0,19.0,2
4,1,1,0,0.39375,53.0,2
3,0,2,0,0.0,375.0,2
2,0,2,0,0.0,60.0,2
2,3,2,0,0.0,17.0,2
1,0,1,0,0.0,36.0,2
2,0,2,0,0.0,23.0,2
2,0,1,0,0.0,10.0,2
1,0,1,0,0.0,21.0,3
2,0,1,0,0.0,20.0,2
1,0,3,0,0.0,58.0,2
3,0,2,0,0.0,70.0,2
1,0,2,0,1.0,29.0,3
4,0,1,0,0.0,24.0,2
15,0,1,0,0.0656084666666666,352.0,2
3,4,1,0,0.0,52.0,2
2,1,2,0,0.0,53.0,2
1,0,3,0,0.0,42.0,3
5,0,2,0,0.0,124.0,2
3,1,1,1,0.0,153.0,2
1,0,1,0,0.0,72.0,3
4,3,2,0,0.0,24.0,2
2,0,2,0,0.0,397.0,2
2,1,1,0,0.0,32.0,2
2,0,2,0,0.0,126.0,2
5,0,2,0,0.0,25.0,2
3,0,2,0,0.0,13.0,2
1,0,1,0,0.0,38.0,3
12,2,2,0,0.2824175714285714,19.0,2
1,0,1,0,0.0,39.0,3
3,0,2,0,0.0,21.0,2
2,0,2,0,0.0,15.0,2
1,0,1,0,0.0,3.0,2
1,0,1,0,0.0,19.0,3
1,0,1,0,0.0,163.0,3
3,3,2,0,0.0,62.0,2
8,1,1,0,0.0,47.0,2
1,0,1,0,0.0,94.0,3
2,0,2,0,0.0,39.0,2
2,3,2,0,0.0,139.0,2
4,0,1,0,0.0,12.0,2
3,0,2,0,0.0,18.0,1
1,0,3,0,0.0,29.0,3
1,0,3,0,0.984127,6.0,3
3,0,2,0,0.0,65.0,2
1,0,3,0,0.0,11.0,3
2,0,2,0,0.4920635,141.0,2
6,3,2,0,0.1076388888888888,112.0,2
3,0,2,0,0.0,23.0,2
2,0,2,0,0.0,11.0,2
3,4,2,0,0.0,101.0,2
1,0,1,0,0.0,5.0,1
8,4,2,0,0.0,88.0,2
1,0,2,0,1.0,12.0,3
4,0,2,0,0.25,19.0,2
7,0,2,0,0.0,3646467.0,2
1,0,2,0,0.0,53.0,3
2,2,2,0,0.0,50.0,2
1,0,1,0,0.0,4.0,2
1,3,2,1,0.0,13.0,2
4,1,1,0,0.0,275.0,2
1,0,1,0,0.911765,7.0,3
2,3,2,0,0.2,27.0,2
1,0,2,0,0.0,61.0,3
4,0,2,0,0.0,57.0,2
1,1,2,1,0.0,34.0,2
1,0,3,0,0.0,5.0,3
1,0,3,0,0.0,16.0,3
2,0,2,0,0.4894735,23.0,2
2,4,2,0,0.0,49.0,1
1,0,2,0,0.978947,9.0,3
2,3,2,0,0.182353,53.0,2
2,0,2,0,0.0,51.0,2
3,3,2,0,0.0,59.0,2
2,0,2,0,0.0,35.0,2
1,0,2,0,0.0,87.0,3
2,3,2,0,0.1878788,37.0,2
1,0,0,0,0.0,14.0,3
1,3,2,1,0.0,21.0,1
2,3,2,0,0.0,41.0,2
1,0,2,0,0.0,34.0,3
1,1,2,1,0.0,15.0,2
1,0,3,0,0.0,54.0,2
1,0,3,0,0.0,34.0,3
1,0,3,0,0.0,10.0,2
1,0,2,0,0.0,2.0,3
1,0,2,0,0.0,115.0,3
1,0,2,0,0.0,107.0,3
1,0,2,0,0.0,68.0,3
1,0,1,0,0.0,7.0,1
2,4,2,0,0.0,105.0,2
1,0,1,0,0.0,9.0,1
2,0,2,0,0.0,74.0,2
1,0,1,0,0.0,57.0,3
1,0,1,0,0.0,88.0,2
1,0,2,0,0.0,41.0,3
1,0,2,0,1.0,33.0,3
1,0,2,0,0.0,199.0,3
4,3,2,0,0.0,50.0,2
1,0,2,0,0.0,90.0,3
1,0,2,0,0.0,46.0,3
1,0,2,0,0.0,145.0,3
1,0,1,0,0.0,125.0,3
1,0,2,0,0.0,81.0,3
1,0,2,0,0.0,55.0,3
1,0,2,0,1.0,10.0,3
1,0,1,0,0.0,7.0,2
4,0,2,0,0.0,147117.0,2
3,0,2,0,0.0,16.0,2
2,1,1,0,0.3131313333333333,63.0,2
1,0,1,0,0.0,73.0,3
1,0,3,0,0.0,24.0,3
5,0,2,0,0.0,856.0,1
4,0,2,0,0.0,52.0,2
2,0,1,0,0.0,31.0,2
4,0,1,0,0.0,99.0,2
4,1,1,0,0.0,563.0,2
13,0,2,0,0.0,2322947.0,2
2,1,1,0,0.3179486666666666,26.0,2
3,1,1,0,0.2473405,313.0,2
3,0,2,0,0.0,77.0,2
2,1,2,0,0.0,64.0,1
2,0,2,0,0.0,62.0,1
1,0,1,0,1.0,10.0,3
1,0,1,0,0.0,99.0,3
1,0,2,0,0.984127,6.0,3
4,3,2,0,0.0,26.0,2
2,1,1,0,0.0,46.0,2
2,2,2,0,0.0,51.0,2
2,2,2,0,0.0,14.0,2
3,0,2,0,0.0,9.0,2
1,0,2,0,0.0,47.0,3
1,0,1,0,0.0,32.0,3
1,0,1,0,0.0,13.0,2
2,1,1,0,0.0,14.0,2
1,0,1,0,0.0,74.0,3
1,0,2,0,0.0,166.0,3
1,0,2,0,0.0,251.0,3
1,0,1,0,0.0,59.0,3
1,0,3,0,0.0,14.0,2
1,0,1,0,0.0,158.0,3
1,0,2,0,0.0,49.0,3
3,0,2,0,0.0,103.0,2
2,1,2,1,0.0,92.0,2
1,0,2,0,0.0,111.0,3
1,0,1,0,0.0,1.0,2
2,4,2,0,0.0,31.0,2
2,4,2,0,0.0,28.0,2
2,3,2,0,0.2,49.0,2
1,0,2,0,1.0,13.0,3
3,4,2,0,0.0,47.0,2
2,1,2,0,0.0,47.0,2
1,0,1,0,0.0,247.0,3
1,0,1,0,0.0,79.0,3
1,0,2,0,0.0,141.0,3
2,0,2,0,0.0,33.0,2
1,0,2,0,0.946565,5.0,3
1,0,2,0,0.0,69.0,3
2,0,2,0,0.5,12.0,2
3,4,2,0,0.0,26.0,2
2,2,2,0,0.0,71.0,2
1,0,2,0,1.0,4.0,3
1,0,2,0,0.0,44.0,3
3,1,1,0,0.0,232.0,2
1,0,1,0,0.0,200.0,3
3,0,2,0,0.0,42.0,2
2,0,2,0,0.0,87.0,2
2,1,2,0,0.0,59.0,2
2,4,2,0,1.0,41.0,2
5,4,2,0,0.3191318888888888,46.0,2
1,1,2,1,0.0,45.0,2
1,3,2,1,0.0,32.0,2
1,3,2,1,0.0,38.0,2
1,0,2,0,1.0,21.0,3
1,3,2,1,0.0,17.0,2
4,0,2,0,0.0,16.0,2
2,1,2,0,0.3179486666666666,36.0,2
1,0,1,0,0.0,85.0,3
4,2,2,0,0.96875,62.0,2
2,0,2,0,0.4894735,9.0,1
4,2,2,0,0.0,50.0,2
3,2,2,0,0.0,30.0,2
1,0,2,0,0.0,503.0,3
1,0,3,0,1.0,22.0,3
1,0,3,0,0.0,50.0,3
1,0,3,0,0.0,19.0,2
2,0,1,0,0.0,42.0,2
1,0,3,0,0.0,27.0,2
2,0,2,0,0.5,18.0,2
2,1,2,0,0.0,34.0,2
2,3,2,0,0.0,31.0,2
2,3,2,0,0.0,47.0,2
1,0,3,0,0.0,25.0,3
1,0,2,0,0.0,134.0,3
1,0,1,0,0.978947,7.0,3
1,0,2,0,0.0,132.0,3
5,4,2,0,0.0,35.0,2
3,3,2,0,0.0,66.0,2
1,0,2,0,0.0,48.0,3
1,0,2,0,0.0,57.0,3
4,0,2,0,0.0,20.0,1
1,0,2,0,1.0,26.0,3
1,0,2,0,0.0,74.0,3
1,0,2,0,0.978947,12.0,3
3,0,1,0,0.0,285.0,2
2,0,2,0,0.0,28.0,2
4,0,2,0,0.0,24.0,2
2,3,1,0,0.0,45.0,2
4,4,2,0,0.0,58.0,2
2,0,1,0,0.0,243.0,1
3,4,2,0,0.0,65.0,2
1,0,1,0,0.0,31.0,3
4,1,1,0,0.0,82.0,2
4,1,1,0,0.0,58.0,2
3,0,1,0,0.3084576666666666,27.0,2
1,0,1,0,0.978947,8.0,3
2,0,1,0,0.0,80.0,2
2,0,2,0,0.0,40.0,2
4,1,1,0,0.0,41.0,2
1,0,2,0,0.0,108.0,3
5,3,2,0,0.0,85.0,2
5,2,2,0,0.0,92.0,2
9,4,2,0,0.0,168.0,1
3,3,2,0,0.0,65.0,2
3,1,1,0,0.0,31.0,2
1,1,1,1,0.0,73.0,2
2,3,2,0,0.0,39.0,2
2,0,1,0,0.0,226.0,2
2,0,1,0,0.0,38.0,2
3,1,1,0,0.0,40.0,2
2,0,1,0,0.0,59.0,2
4,0,2,0,0.0,9.0,2
1,0,1,0,0.0,2.0,2
1,0,1,0,0.0,312.0,3
1,0,1,0,0.0,201.0,3
2,1,1,0,0.0,43.0,1
4,0,2,0,0.0,34.0,2
2,0,2,0,0.0,564.0,2
1,0,1,0,0.0,67.0,3
2,1,1,0,0.0,10.0,2
1,0,2,0,0.0,207.0,3
1,0,2,0,0.0,56.0,3
1,0,2,0,0.0,157.0,3
4,2,2,0,0.0,28.0,2
4,3,2,0,0.0,80.0,2
6,3,2,0,0.0,66.0,2
6,4,2,0,0.0,17.0,2
1,0,1,0,0.939394,25.0,3
5,0,2,0,0.5873682,23.0,2
5,0,2,0,0.0,40.0,2
1,1,2,1,0.0,1728281.0,1
2,0,1,0,0.0,111.0,2
2,1,1,0,0.0,23.0,2
1,0,1,0,0.0,55.0,2
1,0,2,0,0.0,136.0,3
3,1,2,0,0.0,36.0,2
2,4,2,0,0.0,66.0,2
1,0,2,0,0.978947,15.0,3
2,0,2,0,0.0,67.0,2
1,0,2,0,0.0,99.0,3
1,0,1,0,0.0,49.0,3
1,0,2,0,0.0,30.0,3
2,3,2,0,0.0,57.0,2
1,0,1,0,0.0,52.0,3
3,1,2,0,0.0,97.0,2
4,4,2,0,0.11742425,56.0,2
4,3,2,0,0.0,243.0,2
3,2,2,0,0.0,132.0,2
2,4,2,0,0.0,126.0,2
2,3,2,0,0.0,22.0,1
6,0,2,0,0.0,96.0,1
1,0,1,0,0.0,533.0,2
2,3,2,0,0.5636364,73.0,2
1,0,3,0,0.0,4.0,3
2,0,3,0,0.0,33.0,2
4,0,3,0,0.0,8.0,2
1,0,1,0,0.0,16.0,2
1,0,1,0,0.0,128.0,2
1,0,2,0,0.984127,135.0,3
1,4,2,1,0.0,14.0,2
1,0,3,0,0.0,1.0,3
3,0,2,0,0.0,20.0,2
2,0,2,0,0.0,55.0,2
1,3,0,1,0.0,9.0,2
1,1,1,1,0.0,29.0,2
8,3,2,0,0.0,81.0,2
1,0,3,0,0.0,61.0,3
1,0,3,0,0.0,20.0,3
1,0,3,0,0.0,210.0,3
1,0,3,0,0.0,19.0,3
1,0,3,0,0.0,87.0,3
1,4,2,1,0.0,7.0,2
1,0,3,0,0.0,27.0,3
1,0,3,0,0.0,21.0,2
1,0,3,0,0.0,22.0,3
1,0,2,0,1.0,19.0,3
1,0,3,0,0.0,30.0,3
1,0,2,0,1.0,41.0,3
1,0,2,0,0.0,167.0,3
1,0,1,0,0.939394,22.0,3
1,0,1,0,1.0,11.0,2
1,0,2,0,0.0,133.0,3
1,0,1,0,0.0,51.0,1
1,0,1,0,0.939394,33.0,3
4,0,2,0,0.0,71.0,2
1,0,1,0,0.0,2.0,3
1,0,3,0,0.939394,24.0,3
1,0,2,0,0.946565,3.0,3
2,1,2,0,0.0,115.0,2
1,0,2,0,0.0,97.0,3
1,0,1,0,0.0,547.0,2
2,1,1,0,0.0,78.0,2
2,0,1,0,0.5,31.0,2
2,0,1,0,0.0,11.0,2
2,0,1,0,0.0,13.0,2
2,0,2,0,0.0,81.0,2
1,0,1,0,1.0,14.0,3
1,0,2,0,0.0,95.0,3
2,1,1,0,0.0,24.0,2
4,0,2,0,0.0,1069.0,2
3,1,1,0,0.0,77.0,2
1,0,1,0,0.0,239.0,3
2,1,2,0,0.0,100.0,2
1,0,3,0,0.0,90.0,3
2,3,2,0,0.0,27.0,2
3,0,1,0,0.0,74.0,2
3,4,2,0,0.1428571428571428,22.0,2
2,0,2,0,0.0,29.0,2
1,0,1,0,0.978947,10.0,3
3,0,1,0,0.0,52.0,2
2,1,1,0,0.0,20.0,2
4,1,1,0,0.0,66.0,2
1,0,2,0,0.0,71.0,3
3,0,2,0,0.0,47.0,2
1,0,3,0,0.0,30.0,2
2,2,2,0,0.0,25.0,1
2,0,1,0,0.0,74.0,2
1,0,2,0,1.0,20.0,3
1,0,2,0,0.0,171.0,3
1,1,2,1,0.0,83.0,2
2,0,2,0,0.0,107.0,2
3,1,2,0,0.0,103.0,2
1,0,2,0,0.0,77.0,3
1,0,2,0,0.939394,49.0,3
2,3,2,0,0.0,44.0,2
6,3,2,0,0.0,42.0,2
1,0,2,0,0.0,101.0,3
2,0,2,0,0.0,62.0,2
1,2,2,1,0.0,23.0,2
1,0,1,0,0.0,165.0,3
1,0,1,0,0.939394,21.0,3
1,0,1,0,0.0,35.0,3
1,0,2,0,1.0,23.0,3
2,0,2,0,0.0,54.0,2
1,0,2,0,0.0,185.0,3
1,0,1,0,0.0,106.0,3
2,0,1,0,0.0,33.0,1
1,0,1,0,1.0,9.0,3
4,3,2,0,0.0,1172.0,1
5,2,2,1,0.1383928571428571,347.0,2
2,0,2,0,0.0,105.0,2
4,3,2,0,0.0,25.0,2
1,0,2,0,0.0,65.0,3
2,3,2,0,0.0,40.0,2
1,0,3,0,0.0,3.0,3
3,0,2,0,0.0,33.0,2
1,0,1,0,0.0,203.0,3
3,1,2,0,0.0,62.0,2
4,4,2,0,0.0,165.0,2
2,3,2,0,0.0,101.0,1
1,0,2,0,0.0,60.0,3
6,0,2,0,0.0,65.0,2
2,0,2,0,0.0,53.0,2
1,0,2,0,0.0,186.0,3
2,0,2,0,0.469697,8.0,2
1,0,3,0,0.0,41.0,3
4,0,2,0,0.0,42.0,2
1,0,2,0,0.0,78.0,3
5,3,2,0,0.1640211666666666,110.0,2
1,0,3,0,0.0,74.0,2
3,3,2,0,0.1589743333333333,23.0,2
2,0,2,0,0.0,44.0,2
2,4,2,0,0.0,44.0,2
4,0,2,0,0.0,48.0,2
2,2,2,0,0.0,13.0,2
1,0,1,0,0.0,31.0,2
2,0,2,0,0.0,285712.0,2
3,4,2,0,0.0,25.0,2
1,4,2,1,0.4,42.0,2
2,0,2,0,0.0,233.0,2
3,0,1,0,0.0,22.0,2
5,0,2,0,0.0,119.0,2
3,2,1,0,0.0,76.0,2
1,1,1,1,0.0,5.0,2
2,3,2,0,0.0,32.0,2
6,3,1,0,0.0,150.0,2
2,2,2,0,0.0,24.0,2
1,0,1,0,0.0,172.0,3
2,0,1,0,0.0,19.0,2
1,0,1,0,0.0,116.0,3
1,0,1,0,0.0,98.0,3
3,3,2,0,0.3245726666666666,20.0,2
5,1,1,0,0.1565656666666666,47.0,2
1,0,3,0,0.0,57.0,3
2,0,1,0,0.469697,55.0,2
1,0,1,0,0.0,207.0,3
2,0,1,0,0.0,281.0,2
1,0,1,0,0.939394,30.0,3
1,0,1,0,0.0,153.0,3
4,0,1,0,0.0,92.0,2
3,1,1,0,0.0,33.0,2
3,0,2,0,0.0,22.0,2
1,0,3,0,0.0,7.0,2
1,0,2,0,0.0,216.0,3
1,0,1,0,0.0,214.0,3
2,0,1,0,0.0,96.0,1
1,0,1,0,0.0,54.0,3
1,1,1,1,0.0,4.0,2
1,0,1,0,0.0,22.0,2
1,0,1,0,0.0,133.0,3
4,0,2,0,0.0,22.0,2
1,0,2,0,0.0,238.0,3
